rank,name,country_name,country_id,opponent_name,opponent_country_name,opponent_country_id,date,tournament,level,bestOf,surface,indoor,speed,round,score,winner,value,outcome
1,Ivo Karlovic,Croatia,CRO,Ivan Dodig,Croatia,CRO,17/01/2011,Australian Open,G,5,H,FAUX,55,R128,6-4 3-6 6-7(5) 6-4 6-4,FAUX,48,
2,Andreas Haider Maurer,Austria,AUT,Florent Serra,France,FRA,20/06/2011,Wimbledon,G,5,G,FAUX,80,R128,7-6(5) 6-3 6-3,VRAI,39,
3,Milos Raonic,Canada,CAN,Radek Stepanek,Czech Republic,CZE,14/02/2011,Memphis,A,3,H,VRAI,72,R16,6-4 6-7(10) 7-6(1),VRAI,38,
4,Gilles Muller,Luxembourg,LUX,Tommy Haas,Germany,GER,20/06/2011,Wimbledon,G,5,G,FAUX,80,R128,7-6(5) 7-6(3) 3-6 6-3,VRAI,37,
5,Feliciano Lopez,Spain,ESP,Andy Roddick,United States,USA,06/06/2011,Queen's Club,B,3,G,FAUX,75,R32,7-6(2) 6-7(5) 6-4,FAUX,35,
5,Kenny De Schepper,France,FRA,Olivier Rochus,Belgium,BEL,20/06/2011,Wimbledon,G,5,G,FAUX,80,R128,6-7(6) 3-6 6-3 6-1 6-4,FAUX,35,
7,Andy Roddick,United States,USA,Robin Haase,Netherlands,NED,17/01/2011,Australian Open,G,5,H,FAUX,55,R32,2-6 7-6(2) 6-2 6-2,VRAI,32,
7,Ivo Karlovic,Croatia,CRO,Daniel Brands,Germany,GER,31/01/2011,Zagreb,B,3,H,VRAI,56,R32,7-5 6-7(3) 7-6(1),FAUX,32,
7,Milos Raonic,Canada,CAN,Andy Roddick,United States,USA,14/02/2011,Memphis,A,3,H,VRAI,72,F,7-6(7) 6-7(11) 7-5,FAUX,32,
10,Andy Roddick,United States,USA,Andreas Beck,Germany,GER,20/06/2011,Wimbledon,G,5,G,FAUX,80,R128,6-4 7-6(6) 6-3,VRAI,30,
10,John Isner,United States,USA,James Blake,United States,USA,18/07/2011,Atlanta,B,3,H,FAUX,49,R16,7-6(8) 6-7(3) 7-5,VRAI,30,
10,Juan Martin Del Potro,Argentina,ARG,Olivier Rochus,Belgium,BEL,20/06/2011,Wimbledon,G,5,G,FAUX,80,R64,6-7(7) 6-1 6-0 6-4,VRAI,30,
13,Dustin Brown,Germany,GER,Albert Montanes,Spain,ESP,17/01/2011,Australian Open,G,5,H,FAUX,55,R128,6-4 6-2 3-6 2-6 7-5,FAUX,29,
13,Ivo Karlovic,Croatia,CRO,Richard Gasquet,France,FRA,29/08/2011,US Open,G,5,H,FAUX,49,R64,6-4 6-2 2-6 7-6(4),VRAI,29,
13,Jo Wilfried Tsonga,France,FRA,Fernando Gonzalez,Chile,CHI,20/06/2011,Wimbledon,G,5,G,FAUX,80,R32,6-3 6-4 6-3,VRAI,29,
16,Feliciano Lopez,Spain,ESP,Frank Dancevic,Canada,CAN,31/01/2011,Johannesburg,B,3,H,FAUX,54,R32,6-7(5) 6-2 7-6(8),FAUX,28,
16,Feliciano Lopez,Spain,ESP,Lukasz Kubot,Poland,POL,20/06/2011,Wimbledon,G,5,G,FAUX,80,R16,3-6 6-7(5) 7-6(7) 7-5 7-5,VRAI,28,
16,Feliciano Lopez,Spain,ESP,Rainer Schuettler,Germany,GER,20/06/2011,Wimbledon,G,5,G,FAUX,80,R64,7-6(3) 6-7(3) 6-2 6-2,VRAI,28,
16,Feliciano Lopez,Spain,ESP,Andy Roddick,United States,USA,20/06/2011,Wimbledon,G,5,G,FAUX,80,R32,7-6(2) 7-6(2) 6-4,VRAI,28,
16,Ivo Karlovic,Croatia,CRO,Philipp Kohlschreiber,Germany,GER,03/01/2011,Doha,B,3,H,FAUX,73,R16,7-6(5) 6-7(4) 7-6(2),VRAI,28,
16,John Isner,United States,USA,Nicolas Almagro,Spain,ESP,20/06/2011,Wimbledon,G,5,G,FAUX,80,R64,7-6(3) 7-6(5) 6-7(5) 6-3,FAUX,28,
16,John Isner,United States,USA,Gilles Muller,Luxembourg,LUX,18/07/2011,Atlanta,B,3,H,FAUX,49,SF,7-5 6-7(3) 6-1,VRAI,28,
16,Milos Raonic,Canada,CAN,Mikhail Youzhny,Russian Federation,RUS,17/01/2011,Australian Open,G,5,H,FAUX,55,R32,6-4 7-5 4-6 6-4,VRAI,28,
16,Robin Soderling,Sweden,SWE,Lleyton Hewitt,Australia,AUS,20/06/2011,Wimbledon,G,5,G,FAUX,80,R64,6-7(5) 3-6 7-5 6-4 6-4,VRAI,28,
